Elapsed,Temp,
0,16.89,
1,19.34,
2,18.85,
3,19.34,
4,19.34,
5,18.36,
6,20.8,
7,21.78,
8,19.82,
9,23.24,
10,20.8,
11,22.75,
12,21.78,
13,21.78,
14,28.12,
15,22.75,
16,22.75,
17,24.71,
18,25.2,
19,23.24,
20,26.17,
21,25.2,
22,25.2,
23,26.17,
24,33.98,
25,27.15,
26,23.24,
27,22.27,
28,27.15,
29,23.24,
30,28.61,
31,30.08,
32,29.1,
33,23.73,
34,29.1,
35,30.57,
36,28.61,
37,29.1,
38,31.05,
39,30.57,
40,32.03,
41,33.01,
42,32.52,
43,33.01,
44,30.08,
45,33.5,
46,31.54,
47,34.47,
48,39.84,
49,37.4,
50,39.36,
51,34.47,
52,42.29,
53,33.01,
54,35.94,
55,35.45,
56,34.96,
57,34.96,
58,36.43,
59,38.38,
60,39.36,
61,37.4,
62,37.89,
63,37.4,
64,38.38,
65,38.38,
66,39.36,
67,40.33,
68,36.43,
69,37.4,
70,40.33,
71,41.31,
72,40.82,
73,41.31,
74,40.82,
75,39.84,
76,41.31,
77,45.7,
78,43.75,
79,46.68,
80,41.31,
81,41.8,
82,42.29,
83,42.29,
84,44.24,
85,44.73,
86,43.26,
87,44.24,
88,45.21,
89,45.7,
90,44.24,
91,38.87,
92,42.77,
93,45.21,
94,46.19,
95,44.73,
96,46.19,
97,46.68,
98,45.21,
99,47.17,
100,47.66,
101,45.21,
102,46.19,
103,47.17,
104,47.17,
105,47.66,
106,48.14,
107,48.63,
108,47.17,
109,49.12,
110,49.61,
111,49.61,
112,44.73,
113,49.61,
114,50.1,
115,49.61,
116,50.59,
117,50.59,
118,51.56,
119,49.61,
120,50.59,
121,48.63,
122,51.07,
123,56.93,
124,49.61,
125,51.07,
126,49.12,
127,52.05,
128,52.54,
129,53.03,
130,50.59,
131,52.54,
132,48.63,
133,52.54,
134,54,
135,53.03,
136,54,
137,51.07,
138,54.98,
139,54,
140,50.59,
141,55.47,
142,53.03,
143,55.47,
144,52.54,
145,54,
146,55.47,
147,53.03,
148,54.98,
149,54.49,
150,56.93,
151,51.56,
152,58.4,
153,54.98,
154,62.3,
155,56.45,
156,53.03,
157,60.84,
