Time Stamp,Temperature C,
2019-09-12T09:28:35.171Z,12.99,
2019-09-12T09:29:35.234Z,18.36,
2019-09-12T09:30:35.293Z,16.89,
2019-09-12T09:31:35.356Z,19.34,
2019-09-12T09:32:35.414Z,18.85,
2019-09-12T09:33:35.477Z,19.34,
2019-09-12T09:34:35.540Z,19.34,
2019-09-12T09:35:35.599Z,18.36,
2019-09-12T09:36:35.662Z,20.8,
2019-09-12T09:37:35.725Z,21.78,
2019-09-12T09:38:35.788Z,19.82,
2019-09-12T09:39:35.847Z,23.24,
2019-09-12T09:40:35.909Z,20.8,
2019-09-12T09:41:35.972Z,22.75,
2019-09-12T09:42:36.035Z,21.78,
2019-09-12T09:43:36.098Z,21.78,
2019-09-12T09:44:36.157Z,28.12,
2019-09-12T09:45:36.220Z,22.75,
2019-09-12T09:46:36.283Z,22.75,
2019-09-12T09:47:36.303Z,24.71,
2019-09-12T09:48:36.362Z,25.2,
2019-09-12T09:49:36.422Z,23.24,
2019-09-12T09:50:36.479Z,26.17,
2019-09-12T09:51:36.540Z,25.2,
2019-09-12T09:52:36.601Z,25.2,
2019-09-12T09:53:36.661Z,26.17,
2019-09-12T09:54:36.722Z,33.98,
2019-09-12T09:55:36.783Z,27.15,
2019-09-12T09:56:36.840Z,23.24,
2019-09-12T09:57:36.900Z,22.27,
2019-09-12T09:58:36.961Z,27.15,
2019-09-12T09:59:37.022Z,23.24,
2019-09-12T10:00:37.083Z,28.61,
2019-09-12T10:01:37.143Z,30.08,
2019-09-12T10:02:37.200Z,29.1,
2019-09-12T10:03:37.261Z,23.73,
2019-09-12T10:04:37.322Z,29.1,
2019-09-12T10:05:37.383Z,30.57,
2019-09-12T10:06:37.444Z,28.61,
2019-09-12T10:07:37.504Z,29.1,
2019-09-12T10:08:37.565Z,31.05,
2019-09-12T10:09:37.622Z,30.57,
2019-09-12T10:10:37.683Z,32.03,
2019-09-12T10:11:37.743Z,33.01,
2019-09-12T10:12:37.804Z,32.52,
2019-09-12T10:13:37.865Z,33.01,
2019-09-12T10:14:37.926Z,30.08,
2019-09-12T10:15:37.983Z,33.5,
2019-09-12T10:16:38.043Z,31.54,
2019-09-12T10:17:38.104Z,34.47,
2019-09-12T10:18:38.165Z,39.84,
2019-09-12T10:19:38.226Z,37.4,
2019-09-12T10:20:38.287Z,39.36,
2019-09-12T10:21:38.348Z,34.47,
2019-09-12T10:22:38.404Z,42.29,
2019-09-12T10:23:38.465Z,33.01,
2019-09-12T10:24:38.526Z,35.94,
2019-09-12T10:25:38.587Z,35.45,
2019-09-12T10:26:38.647Z,34.96,
2019-09-12T10:27:38.708Z,34.96,
2019-09-12T10:28:38.769Z,36.43,
2019-09-12T10:29:38.826Z,38.38,
2019-09-12T10:30:38.887Z,39.36,
2019-09-12T10:31:38.948Z,37.4,
2019-09-12T10:32:39.008Z,37.89,
2019-09-12T10:33:39.069Z,37.4,
2019-09-12T10:34:39.130Z,38.38,
2019-09-12T10:35:39.191Z,38.38,
2019-09-12T10:36:39.248Z,39.36,
2019-09-12T10:37:39.306Z,40.33,
2019-09-12T10:38:39.367Z,36.43,
2019-09-12T10:39:39.428Z,37.4,
